,Open,High,Low,Close,Adj Close,Volume
2022-02-24 14:45:00+01:00,324.0,324.0,324.0,324.0,324.0,12.0
2022-02-24 14:50:00+01:00,324.5,325.0,324.0,324.0,324.0,22.0
2022-02-24 14:55:00+01:00,324.0,324.5,323.5,324.5,324.5,50.0
2022-02-24 15:00:00+01:00,325.0,325.5,325.0,325.5,325.5,23.0
2022-02-24 15:05:00+01:00,325.5,325.5,325.5,325.5,325.5,16.0
2022-02-24 15:10:00+01:00,326.5,326.5,326.5,326.5,326.5,1.0
2022-02-24 15:15:00+01:00,326.5,326.5,326.5,326.5,326.5,15.0
2022-02-24 15:20:00+01:00,326.0,326.0,326.0,326.0,326.0,9.0
2022-02-24 15:30:00+01:00,325.0,329.5,325.0,329.5,329.5,162.0
2022-02-24 15:35:00+01:00,329.5,330.0,329.5,330.0,330.0,73.0
2022-02-24 15:40:00+01:00,330.5,330.5,330.5,330.5,330.5,6.0
2022-02-24 15:45:00+01:00,331.5,331.5,331.5,331.5,331.5,41.0
2022-02-24 15:50:00+01:00,332.5,332.5,331.5,332.0,332.0,51.0
2022-02-24 15:55:00+01:00,331.0,332.5,331.0,332.5,332.5,57.0
2022-02-24 16:00:00+01:00,331.5,331.5,330.5,331.5,331.5,49.0
2022-02-24 16:05:00+01:00,332.0,332.0,331.5,331.5,331.5,38.0
2022-02-24 16:10:00+01:00,332.0,333.0,331.0,332.5,332.5,37.0
2022-02-24 16:15:00+01:00,332.0,332.5,331.0,332.5,332.5,91.0
2022-02-24 16:20:00+01:00,334.0,335.0,332.5,332.5,332.5,129.0
2022-02-24 16:25:00+01:00,334.5,334.5,334.5,334.5,334.5,6.0
2022-02-24 16:30:00+01:00,334.5,335.5,334.5,335.5,335.5,28.0
2022-02-24 16:35:00+01:00,334.0,334.0,334.0,334.0,334.0,10.0
2022-02-24 16:40:00+01:00,333.5,334.5,333.5,334.5,334.5,65.0
2022-02-24 16:45:00+01:00,335.0,335.0,335.0,335.0,335.0,29.0
2022-02-24 16:50:00+01:00,334.5,335.5,334.5,335.5,335.5,41.0
2022-02-24 16:55:00+01:00,336.0,336.0,336.0,336.0,336.0,25.0
2022-02-24 17:00:00+01:00,337.0,337.0,336.5,336.5,336.5,44.0
2022-02-24 17:05:00+01:00,337.0,337.0,337.0,337.0,337.0,44.0
2022-02-24 17:10:00+01:00,338.0,338.0,337.0,337.0,337.0,9.0
2022-02-24 17:15:00+01:00,338.0,338.5,338.0,338.5,338.5,23.0
2022-02-24 17:20:00+01:00,338.5,338.5,337.0,337.5,337.5,65.0
2022-02-24 17:25:00+01:00,338.0,338.0,337.5,338.0,338.0,20.0
2022-02-25 09:00:00+01:00,342.0,342.5,342.0,342.5,342.5,0.0
2022-02-25 09:05:00+01:00,342.5,342.5,341.0,341.0,341.0,53.0
2022-02-25 09:15:00+01:00,338.0,338.5,337.0,337.0,337.0,50.0
2022-02-25 09:20:00+01:00,337.5,338.0,337.0,337.0,337.0,16.0
2022-02-25 09:25:00+01:00,336.5,336.5,336.0,336.0,336.0,13.0
2022-02-25 09:30:00+01:00,337.0,337.0,336.5,336.5,336.5,50.0
2022-02-25 09:35:00+01:00,336.0,336.0,336.0,336.0,336.0,6.0
2022-02-25 09:50:00+01:00,337.0,337.5,337.0,337.0,337.0,28.0
2022-02-25 09:55:00+01:00,337.5,337.5,336.5,336.5,336.5,14.0
2022-02-25 10:05:00+01:00,336.0,336.5,335.5,335.5,335.5,29.0
2022-02-25 10:15:00+01:00,336.5,336.5,336.5,336.5,336.5,7.0
2022-02-25 10:20:00+01:00,337.0,337.0,337.0,337.0,337.0,5.0
2022-02-25 10:25:00+01:00,338.0,338.5,338.0,338.5,338.5,10.0
2022-02-25 10:30:00+01:00,338.0,340.0,338.0,340.0,340.0,141.0
2022-02-25 10:35:00+01:00,339.0,339.0,336.5,337.0,337.0,49.0
2022-02-25 10:40:00+01:00,337.0,338.0,337.0,338.0,338.0,82.0
2022-02-25 10:45:00+01:00,338.5,338.5,336.0,336.0,336.0,42.0
2022-02-25 10:50:00+01:00,337.5,337.5,337.5,337.5,337.5,1.0
2022-02-25 10:55:00+01:00,338.5,339.0,338.0,338.0,338.0,31.0
2022-02-25 11:00:00+01:00,338.5,338.5,338.5,338.5,338.5,7.0
2022-02-25 11:05:00+01:00,339.5,340.0,339.5,340.0,340.0,28.0
2022-02-25 11:15:00+01:00,340.0,340.0,340.0,340.0,340.0,6.0
2022-02-25 11:20:00+01:00,340.5,340.5,340.5,340.5,340.5,6.0
2022-02-25 11:25:00+01:00,341.0,341.5,340.5,340.5,340.5,24.0
2022-02-25 11:45:00+01:00,342.5,343.5,342.5,343.5,343.5,21.0
2022-02-25 12:00:00+01:00,342.0,342.0,342.0,342.0,342.0,4.0
2022-02-25 12:05:00+01:00,341.5,341.5,341.0,341.5,341.5,22.0
2022-02-25 12:25:00+01:00,341.0,341.0,341.0,341.0,341.0,4.0
2022-02-25 12:30:00+01:00,340.5,340.5,340.5,340.5,340.5,2.0
2022-02-25 12:35:00+01:00,341.5,342.5,341.5,342.5,342.5,23.0
2022-02-25 12:50:00+01:00,341.5,341.5,340.5,340.5,340.5,61.0
2022-02-25 12:55:00+01:00,340.5,341.0,340.5,341.0,341.0,64.0
2022-02-25 13:05:00+01:00,341.0,341.0,341.0,341.0,341.0,10.0
2022-02-25 13:25:00+01:00,341.0,341.0,341.0,341.0,341.0,2.0
2022-02-25 13:35:00+01:00,340.0,340.5,340.0,340.5,340.5,25.0
2022-02-25 13:40:00+01:00,340.0,340.0,340.0,340.0,340.0,58.0
2022-02-25 13:45:00+01:00,340.0,340.0,340.0,340.0,340.0,1.0
2022-02-25 13:50:00+01:00,340.5,342.5,340.5,342.5,342.5,26.0
2022-02-25 13:55:00+01:00,343.5,344.0,343.0,344.0,344.0,19.0
2022-02-25 14:00:00+01:00,343.5,343.5,343.0,343.0,343.0,13.0
2022-02-25 14:10:00+01:00,344.0,344.0,344.0,344.0,344.0,1.0
2022-02-25 14:15:00+01:00,344.0,344.5,344.0,344.5,344.5,22.0
2022-02-25 14:20:00+01:00,345.5,345.5,345.5,345.5,345.5,8.0
2022-02-25 14:25:00+01:00,346.5,346.5,346.5,346.5,346.5,1.0
2022-02-25 14:30:00+01:00,346.5,346.5,346.5,346.5,346.5,1.0
2022-02-25 14:35:00+01:00,347.0,347.0,346.5,346.5,346.5,23.0
2022-02-25 14:40:00+01:00,347.0,348.5,346.5,346.5,346.5,108.0
2022-02-25 14:50:00+01:00,346.5,346.5,346.5,346.5,346.5,6.0
2022-02-25 14:55:00+01:00,347.5,349.5,347.0,347.0,347.0,222.0
2022-02-25 15:00:00+01:00,347.5,347.5,347.5,347.5,347.5,13.0
2022-02-25 15:05:00+01:00,348.0,348.5,347.5,347.5,347.5,100.0
2022-02-25 15:10:00+01:00,347.5,347.5,347.5,347.5,347.5,5.0
2022-02-25 15:20:00+01:00,347.5,348.5,347.5,348.5,348.5,40.0
2022-02-25 15:25:00+01:00,347.5,348.0,347.5,348.0,348.0,43.0
2022-02-25 15:30:00+01:00,347.0,347.5,347.0,347.5,347.5,97.0
2022-02-25 15:35:00+01:00,348.0,349.0,347.5,347.5,347.5,107.0
2022-02-25 15:45:00+01:00,346.5,347.0,346.5,347.0,347.0,7.0
2022-02-25 15:55:00+01:00,346.0,346.0,344.5,345.5,345.5,78.0
2022-02-25 16:00:00+01:00,345.0,345.0,345.0,345.0,345.0,1.0
2022-02-25 16:20:00+01:00,343.0,344.0,343.0,344.0,344.0,92.0
2022-02-25 16:25:00+01:00,344.5,345.0,344.5,345.0,345.0,20.0
2022-02-25 16:30:00+01:00,346.0,346.0,346.0,346.0,346.0,13.0
2022-02-25 16:40:00+01:00,346.5,347.0,346.5,347.0,347.0,21.0
2022-02-25 16:45:00+01:00,347.5,347.5,347.5,347.5,347.5,8.0
2022-02-25 16:50:00+01:00,346.5,346.5,346.0,346.0,346.0,49.0
2022-02-25 16:55:00+01:00,346.5,346.5,346.5,346.5,346.5,31.0
2022-02-25 17:05:00+01:00,347.0,347.0,347.0,347.0,347.0,3.0
2022-02-25 17:10:00+01:00,347.5,348.5,347.5,347.5,347.5,68.0
2022-02-25 17:15:00+01:00,347.5,347.5,347.5,347.5,347.5,5.0
2022-02-25 17:20:00+01:00,348.0,348.0,348.0,348.0,348.0,3.0
2022-02-25 17:25:00+01:00,347.0,348.0,347.0,347.0,347.0,16.0
2022-02-28 09:00:00+01:00,341.0,343.0,341.0,343.0,343.0,0.0
2022-02-28 09:05:00+01:00,343.0,343.0,342.5,342.5,342.5,9.0
2022-02-28 09:10:00+01:00,342.5,342.5,341.5,341.5,341.5,13.0
2022-02-28 09:15:00+01:00,343.5,345.5,343.5,344.0,344.0,64.0
2022-02-28 09:20:00+01:00,345.5,346.5,345.5,346.0,346.0,80.0
2022-02-28 09:25:00+01:00,346.5,346.5,346.5,346.5,346.5,8.0
2022-02-28 09:30:00+01:00,347.0,347.0,347.0,347.0,347.0,4.0
2022-02-28 09:40:00+01:00,346.5,346.5,346.5,346.5,346.5,29.0
2022-02-28 09:45:00+01:00,348.0,348.0,348.0,348.0,348.0,5.0
2022-02-28 09:55:00+01:00,348.5,348.5,348.5,348.5,348.5,9.0
2022-02-28 10:05:00+01:00,350.0,350.0,348.0,348.0,348.0,515.0
2022-02-28 10:15:00+01:00,347.0,347.0,347.0,347.0,347.0,1.0
2022-02-28 10:20:00+01:00,346.5,346.5,346.5,346.5,346.5,4.0
2022-02-28 10:25:00+01:00,345.0,345.0,345.0,345.0,345.0,12.0
2022-02-28 10:30:00+01:00,345.0,346.5,345.0,346.0,346.0,110.0
2022-02-28 10:35:00+01:00,346.0,346.0,346.0,346.0,346.0,2.0
2022-02-28 10:40:00+01:00,348.5,348.5,348.5,348.5,348.5,9.0
2022-02-28 10:50:00+01:00,347.5,347.5,347.5,347.5,347.5,18.0
2022-02-28 11:00:00+01:00,349.5,349.5,348.5,349.5,349.5,5.0
2022-02-28 11:15:00+01:00,347.5,347.5,347.0,347.0,347.0,207.0
2022-02-28 11:20:00+01:00,347.0,347.0,347.0,347.0,347.0,33.0
2022-02-28 11:30:00+01:00,346.5,346.5,345.5,346.0,346.0,38.0
2022-02-28 11:35:00+01:00,345.5,345.5,345.0,345.0,345.0,16.0
2022-02-28 12:00:00+01:00,348.0,348.0,348.0,348.0,348.0,3.0
2022-02-28 12:05:00+01:00,347.5,347.5,347.5,347.5,347.5,10.0
2022-02-28 12:10:00+01:00,347.0,347.0,347.0,347.0,347.0,2.0
2022-02-28 12:35:00+01:00,350.0,351.0,350.0,351.0,351.0,4.0
2022-02-28 12:50:00+01:00,351.0,351.0,351.0,351.0,351.0,18.0
2022-02-28 12:55:00+01:00,358.5,358.5,352.0,352.0,352.0,61.0
2022-02-28 13:30:00+01:00,355.0,355.0,355.0,355.0,355.0,5.0
2022-02-28 13:45:00+01:00,355.0,355.0,354.0,354.0,354.0,25.0
2022-02-28 13:50:00+01:00,354.5,354.5,353.5,353.5,353.5,74.0
2022-02-28 14:10:00+01:00,353.0,353.0,353.0,353.0,353.0,46.0
2022-02-28 14:15:00+01:00,352.0,352.0,352.0,352.0,352.0,24.0
2022-02-28 14:20:00+01:00,352.5,353.0,352.5,353.0,353.0,83.0
2022-02-28 14:25:00+01:00,352.5,352.5,352.5,352.5,352.5,7.0
2022-02-28 14:30:00+01:00,353.0,354.0,353.0,354.0,354.0,82.0
2022-02-28 14:40:00+01:00,351.5,351.5,351.5,351.5,351.5,22.0
2022-02-28 14:50:00+01:00,352.5,354.5,352.5,353.0,353.0,51.0
2022-02-28 15:00:00+01:00,353.5,353.5,353.0,353.0,353.0,54.0
2022-02-28 15:05:00+01:00,352.5,353.0,352.5,353.0,353.0,75.0
2022-02-28 15:20:00+01:00,352.0,352.0,352.0,352.0,352.0,13.0
2022-02-28 15:25:00+01:00,352.5,352.5,352.5,352.5,352.5,33.0
2022-02-28 15:30:00+01:00,353.0,353.0,353.0,353.0,353.0,9.0
2022-02-28 15:40:00+01:00,351.0,351.5,351.0,351.5,351.5,23.0
2022-02-28 15:50:00+01:00,353.5,354.5,353.5,354.5,354.5,22.0
2022-02-28 15:55:00+01:00,355.5,355.5,355.5,355.5,355.5,1.0
2022-02-28 16:00:00+01:00,355.0,355.0,355.0,355.0,355.0,25.0
2022-02-28 16:10:00+01:00,352.0,352.0,352.0,352.0,352.0,5.0
2022-02-28 16:20:00+01:00,353.0,353.0,353.0,353.0,353.0,5.0
2022-02-28 16:25:00+01:00,353.0,353.0,353.0,353.0,353.0,18.0
2022-02-28 16:30:00+01:00,353.0,353.5,353.0,353.5,353.5,42.0
2022-02-28 16:35:00+01:00,354.0,355.0,354.0,354.5,354.5,43.0
2022-02-28 16:45:00+01:00,356.5,356.5,356.5,356.5,356.5,1.0
2022-02-28 16:50:00+01:00,355.5,356.0,354.5,356.0,356.0,69.0
2022-02-28 16:55:00+01:00,355.0,356.0,355.0,356.0,356.0,65.0
2022-02-28 17:00:00+01:00,356.0,356.5,356.0,356.5,356.5,16.0
2022-02-28 17:10:00+01:00,356.0,356.0,356.0,356.0,356.0,12.0
2022-02-28 17:15:00+01:00,356.5,357.5,356.5,357.5,357.5,9.0
2022-02-28 17:20:00+01:00,357.5,358.5,357.5,358.5,358.5,15.0
2022-02-28 17:25:00+01:00,359.0,359.0,359.0,359.0,359.0,10.0
2022-03-01 09:00:00+01:00,363.0,364.5,361.0,363.5,363.5,0.0
2022-03-01 09:05:00+01:00,362.0,362.0,353.0,355.0,355.0,165.0
2022-03-01 09:20:00+01:00,352.0,352.0,348.0,348.0,348.0,168.0
